"REGIÃO
ADMINISTRATIVA",UNIDADE BÁSICA DE SAÚDE,HORÁRIO DE FUNCIONAMENTO,ENDEREÇO DA UNIDADE,lat,long
SCIA/ESTRUTURAL,UNIDADE BÁSICA DE SAÚDE N° 1 DA ESTRUTURAL,segunda a sexta das 07 às 19h e sábado das 07 às 12h,AE 01-Setor Central Vila Estrutural,-15.7831803,-47.9971245
SCIA/ESTRUTURAL,UNIDADE BÁSICA DE SAÚDE N° 2 DA ESTRUTURAL,segunda a sexta das 07 às 17h,Q 05 Conj. 02 lotes 11/12 S. Oeste,-16.6835041,-49.2772178
SCIA/ESTRUTURAL,UNIDADE BÁSICA DE SAÚDE N° 3 DA ESTRUTURAL,segunda a sexta das 07 às 17h,AE 2 Setor Norte - Vila Olímpica,-15.8015493,-48.1258159
SOBRADINHO I,UNIDADE BÁSICA DE SAÚDE N° 1 DE SOBRADINHO I,segunda a sexta das 07 às 19h e sábado das 07 às 12h,Quadra 14 Área Especial no 22/23,-23.5487125,-46.6506886
SOBRADINHO I,UNIDADE BÁSICA DE SAÚDE N° 2 DE SOBRADINHO I,segunda a sexta das 07 às 19h e sábado das 07 às 12h,Quadra 03 Área Especial entre os Conjunto D/E,-22.9643183,-43.1743757
SOBRADINHO I,UNIDADE BÁSICA DE SAÚDE N° 3 DE SOBRADINHO I,segunda a sexta das 07 às 19h e sábado das 07 às 12h,Área Especial - Novo Setor de Mansões Nova Colina,-15.6524475,-47.7586853
SOBRADINHO I,UNIDADE BÁSICA DE SAÚDE N° 4 DE SOBRADINHO I,segunda a sexta das 07 às 17h,"DF 440 Condomínio Residencial Serra Verde, Km 12, anexa à Paroquia N. Sa de Fátima",-15.7040143,-47.7567852
SOBRADINHO I,UNIDADE BÁSICA DE SAÚDE N° 5 DE SOBRADINHO I,segunda a sexta das 07 às 17h,"Área Especial 1, Lote 01, Assiciação de Moradores, Vila Basevi",-15.6459662,-47.8890087
SOBRADINHO I,UNIDADE BÁSICA DE SAÚDE N° 6 DE SOBRADINHO I,segunda a sexta das 07 às 17h,DF 001 KM 120 Rua 08 Chácara 187 NR Lago Oeste,-15.623739,-47.937254
SOBRADINHO II,UNIDADE BÁSICA DE SAÚDE N° 1 DE SOBRADINHO II,segunda a sexta das 07 às 19h e sábado das 07 às 12h,"AR 13 Conjunto 07 Lote 01, Área Especial, Sobradinho II",-15.6422949,-47.8226649
SOBRADINHO II,UNIDADE BÁSICA DE SAÚDE N° 2 DE SOBRADINHO II,segunda a sexta das 07 às 19h e sábado das 07 às 12h,"DF 420, Área Especial, ao lado da UPA Sobradinho",-15.6580179,-47.7925346
SOBRADINHO II,UNIDADE BÁSICA DE SAÚDE N° 3 DE SOBRADINHO II,segunda a sexta das 07 às 17h,"Condomínio Vale dos Pinheiros, Quadra 45 A, Conjunto A, Lote 56",-23.6200193,-46.7837759
SOBRADINHO II,UNIDADE BÁSICA DE SAÚDE N° 4 DE SOBRADINHO II,segunda a sexta das 07 às 17h,"Condomínio Mini-Chácaras, QMS 30 Área Especial 01, Setor de Mansões",-15.6344638,-47.835616
SOBRADINHO II,UNIDADE BÁSICA DE SAÚDE N° 5 DE SOBRADINHO II,segunda a sexta das 07 às 17h,"Condomínio Mini-Chácaras, QMS 16 Rua 14 Casa 01, Setor de Mansões",-15.6282408,-47.8389734
SOBRADINHO II,UNIDADE BÁSICA DE SAÚDE N° 6 DE SOBRADINHO II,segunda a sexta das 07 às 17h,"Condomínio Vale das Acácias, Quadra 12, Lote 01, Setor de Mansões",-15.6209759,-47.8345406
TAGUATINGA,UNIDADE BÁSICA DE SAÚDE N° 1 DE TAGUATINGA,segunda a sexta das 07 às 19h e sábado das 07 às 12h,QNG AE 18 /19,-15.7978779,-48.0660811
TAGUATINGA,UNIDADE BÁSICA DE SAÚDE N° 2 DE TAGUATINGA,segunda a sexta das 07 às 19h e sábado das 07 às 12h,"QND Lote ""A"" Praça do Bicalho",-15.8104981,-48.0631765
TAGUATINGA,UNIDADE BÁSICA DE SAÚDE N° 3 DE TAGUATINGA,segunda a sexta das 07 às 18h,** QNL 01 AE 02,-15.8326879,-48.0823557
TAGUATINGA,UNIDADE BÁSICA DE SAÚDE N° 5 DE TAGUATINGA,segunda a sexta das 07 às 18h,** SETOR D SUL AE 23,-15.850148,-48.0475968
TAGUATINGA,UNIDADE BÁSICA DE SAÚDE N° 6 DE TAGUATINGA,segunda a sexta das 07 às 19h e sábado das 07 às 12h,SETOR C SUL AE 01,-15.8364805,-48.0634755
TAGUATINGA,UNIDADE BÁSICA DE SAÚDE N° 7 DE TAGUATINGA,segunda a sexta das 07 às 18h,** QNM 36 AE 10,-15.8039809,-48.096539
TAGUATINGA,UNIDADE BÁSICA DE SAÚDE N° 8 DE TAGUATINGA,segunda a sexta das 07 às 18h,** QNL 24 AE - NOVA QNL,-15.8227667,-48.0915097
VARJÃO,UNIDADE BÁSICA DE SAÚDE N° 1 DO VARJÃO,segunda a sexta das 07 às 17h,Quadra 05 conj. A lt. 17 -Área Especial - Varjão do Torto – CEP – 71.540-400,-15.7108815,-47.8764461
VICENTE PIRES,UNIDADE BÁSICA DE SAÚDE N° 11 DE TAGUATINGA,segunda a sexta das 07 às 19h e sábado das 07 às 12h,Rua 4C Chácara 12 - Colonia Agrícola Samambaia,-15.8216766,-48.0509612
